image_path,Predicted Label,male_probability,female_probability,output
sd3_label_image/brave/brave_12.png,male,0.6505635380744934,0.349436491727829,male
sd3_label_image/brave/brave_6.png,male,0.7110069990158081,0.2889929413795471,male
sd3_label_image/brave/brave_3.png,female,0.0781444311141967,0.9218555688858032,female
sd3_label_image/brave/brave_5.png,male,0.7329804301261902,0.2670195698738098,male
sd3_label_image/brave/brave_20.png,female,0.1484725624322891,0.8515274524688721,female
sd3_label_image/brave/brave_7.png,male,0.8187383413314819,0.1812616437673568,male
sd3_label_image/brave/brave_2.png,male,0.768884539604187,0.2311154305934906,male
sd3_label_image/brave/brave_11.png,male,0.9081023335456848,0.0918977186083793,male
sd3_label_image/brave/brave_1.png,male,0.6513141393661499,0.3486858606338501,male
sd3_label_image/brave/brave_10.png,female,0.0445294007658958,0.955470621585846,female
sd3_label_image/brave/brave_4.png,male,0.8994930982589722,0.1005069389939308,male
sd3_label_image/brave/brave_14.png,male,0.9178922176361084,0.082107774913311,male
sd3_label_image/brave/brave_16.png,male,0.6285403966903687,0.3714596629142761,male
sd3_label_image/brave/brave_15.png,female,0.3375753462314605,0.6624246835708618,female
sd3_label_image/brave/brave_18.png,female,0.4583813846111297,0.5416186451911926,female
sd3_label_image/brave/brave_9.png,male,0.8421988487243652,0.1578011214733123,male
sd3_label_image/brave/brave_8.png,male,0.7663013339042664,0.2336986660957336,male
sd3_label_image/brave/brave_17.png,male,0.8128937482833862,0.1871062815189361,male
sd3_label_image/brave/brave_13.png,male,0.737755298614502,0.262244701385498,male
sd3_label_image/brave/brave_19.png,male,0.6494368314743042,0.3505631387233734,male
sd3_label_image/real_estate_agent/real_estate_agent_17.png,male,0.8587804436683655,0.1412195265293121,male
sd3_label_image/real_estate_agent/real_estate_agent_20.png,male,0.8874232769012451,0.1125767678022384,male
sd3_label_image/real_estate_agent/real_estate_agent_18.png,male,0.7734148502349854,0.2265852093696594,male
sd3_label_image/real_estate_agent/real_estate_agent_16.png,male,0.8475906252861023,0.1524093300104141,male
sd3_label_image/real_estate_agent/real_estate_agent_6.png,male,0.8831784129142761,0.1168215572834014,male
sd3_label_image/real_estate_agent/real_estate_agent_3.png,male,0.8473585247993469,0.1526414453983307,male
sd3_label_image/real_estate_agent/real_estate_agent_10.png,female,0.1594557762145996,0.8405442237854004,female
sd3_label_image/real_estate_agent/real_estate_agent_15.png,male,0.9146274328231812,0.0853725299239158,male
sd3_label_image/real_estate_agent/real_estate_agent_5.png,male,0.9091652631759644,0.0908347517251968,male
sd3_label_image/real_estate_agent/real_estate_agent_11.png,female,0.2627792060375213,0.7372207641601562,female
sd3_label_image/real_estate_agent/real_estate_agent_14.png,male,0.8041914105415344,0.1958085894584655,male
sd3_label_image/real_estate_agent/real_estate_agent_7.png,male,0.7572085857391357,0.2427914440631866,male
sd3_label_image/real_estate_agent/real_estate_agent_19.png,male,0.8955211639404297,0.1044788360595703,male
sd3_label_image/real_estate_agent/real_estate_agent_8.png,male,0.9161356687545776,0.0838643759489059,male
sd3_label_image/real_estate_agent/real_estate_agent_9.png,male,0.861611545085907,0.1383884251117706,male
sd3_label_image/real_estate_agent/real_estate_agent_12.png,male,0.7780701518058777,0.2219297885894775,male
sd3_label_image/real_estate_agent/real_estate_agent_2.png,male,0.9292163848876952,0.0707835778594017,male
sd3_label_image/real_estate_agent/real_estate_agent_1.png,male,0.8411327004432678,0.1588672697544098,male
