Image Path,Predicted Gender,Confidence,Probabilities
sd3_label_image/brave/brave_12.png,male,0.9935059547424316,"[[0.9935059547424316, 0.00649401405826211]]"
sd3_label_image/brave/brave_6.png,male,0.9315023422241211,"[[0.9315023422241211, 0.06849769502878189]]"
sd3_label_image/brave/brave_3.png,male,0.9623931050300598,"[[0.9623931050300598, 0.03760690987110138]]"
sd3_label_image/brave/brave_5.png,male,0.8731924295425415,"[[0.8731924295425415, 0.1268075555562973]]"
sd3_label_image/brave/brave_20.png,female,0.9806132316589355,"[[0.01938679628074169, 0.9806132316589355]]"
sd3_label_image/brave/brave_7.png,male,0.9979440569877625,"[[0.9979440569877625, 0.0020559278782457113]]"
sd3_label_image/brave/brave_2.png,male,0.9832637906074524,"[[0.9832637906074524, 0.016736233606934547]]"
sd3_label_image/brave/brave_11.png,male,0.9988792538642883,"[[0.9988792538642883, 0.0011206921190023422]]"
sd3_label_image/brave/brave_1.png,male,0.900322675704956,"[[0.900322675704956, 0.09967730194330215]]"
sd3_label_image/brave/brave_10.png,female,0.9816862344741821,"[[0.018313763663172722, 0.9816862344741821]]"
sd3_label_image/brave/brave_4.png,male,0.9892571568489075,"[[0.9892571568489075, 0.010742862708866596]]"
sd3_label_image/brave/brave_14.png,male,0.9918831586837769,"[[0.9918831586837769, 0.008116843178868294]]"
sd3_label_image/brave/brave_16.png,male,0.8870632648468018,"[[0.8870632648468018, 0.11293672770261765]]"
sd3_label_image/brave/brave_15.png,Error,,
sd3_label_image/brave/brave_18.png,male,0.9554864168167114,"[[0.9554864168167114, 0.044513534754514694]]"
sd3_label_image/brave/brave_9.png,male,0.996612012386322,"[[0.996612012386322, 0.003388005308806896]]"
sd3_label_image/brave/brave_8.png,male,0.9927642941474915,"[[0.9927642941474915, 0.007235764060169458]]"
sd3_label_image/brave/brave_17.png,male,0.9957554340362549,"[[0.9957554340362549, 0.004244587384164333]]"
sd3_label_image/brave/brave_13.png,male,0.9985197186470032,"[[0.9985197186470032, 0.0014803431695327163]]"
